Source: U.S. Energy Information Administration
Electricity Residential Price: New England cents per kilowatthour,Electricity Residential Price: Middle Atlantic cents per kilowatthour,Electricity Residential Price: East North Central cents per kilowatthour,Electricity Residential Price: West North Central cents per kilowatthour,Electricity Residential Price: South Atlantic cents per kilowatthour,Electricity Residential Price: East South Central cents per kilowatthour,Electricity Residential Price: West South Central cents per kilowatthour,Electricity Residential Price: Mountain cents per kilowatthour,Electricity Residential Price: Pacific cents per kilowatthour,Electricity Industrial Price: New England cents per kilowatthour,Electricity Commercial Sector Price: New England cents per kilowatthour,Electricity Commercial Sector Price: Middle Atlantic cents per kilowatthour,Electricity Commercial Sector Price: East North Central cents per kilowatthour,Electricity Commercial Sector Price: West North Central cents per kilowatthour,Electricity Commercial Sector Price: South Atlantic cents per kilowatthour,Electricity Commercial Sector Price: East South Central cents per kilowatthour,Electricity Commercial Sector Price: West South Central cents per kilowatthour,Electricity Commercial Sector Price: Mountain cents per kilowatthour,Electricity Commercial Sector Price: Pacific cents per kilowatthour,Electricity Industrial Price: Middle Atlantic cents per kilowatthour,Electricity Industrial Price: East North Central cents per kilowatthour,Electricity Industrial Price: West North Central cents per kilowatthour,Electricity Industrial Price: South Atlantic cents per kilowatthour,Electricity Industrial Price: East South Central cents per kilowatthour,Electricity Industrial Price: West South Central cents per kilowatthour,Electricity Industrial Price: Mountain cents per kilowatthour,Electricity Industrial Price: Pacific cents per kilowatthour
Dec 2021,23.00,16.65,13.75,10.65,12.25,11.80,11.99,12.05,16.57,13.99,17.29,12.94,10.75,8.93,9.66,11.35,7.68,9.19,15.18,6.49,6.96,6.70,6.20,5.75,5.35,6.29,9.92
Nov 2021,22.04,16.60,13.94,11.16,12.15,11.57,12.19,12.08,16.29,13.70,16.88,12.82,10.84,9.23,9.97,11.21,7.67,9.25,15.04,6.50,7.13,6.57,6.65,5.73,5.36,6.18,9.85
Oct 2021,22.31,16.96,14.33,12.00,12.47,12.28,12.34,12.10,16.76,13.71,16.67,13.48,11.10,9.72,9.68,11.53,7.85,9.49,15.76,6.94,7.48,6.87,6.37,6.07,5.66,6.38,11.02
Sep 2021,21.94,17.31,14.74,12.40,12.70,12.36,12.40,12.55,17.60,13.89,16.82,14.02,10.99,9.71,9.85,11.31,8.64,9.76,17.46,7.23,7.72,7.15,6.95,6.30,6.28,6.68,12.02
Aug 2021,22.23,17.21,14.21,13.24,12.66,12.04,12.12,12.50,19.78,13.88,17.16,14.96,10.86,10.70,9.65,11.34,8.64,10.12,18.46,7.32,7.50,7.97,7.14,6.26,6.23,7.32,12.68
Jul 2021,20.85,16.89,14.14,13.31,12.43,12.00,11.82,12.32,19.58,13.55,16.29,14.74,10.67,10.85,9.52,11.23,8.50,10.15,18.06,7.27,7.36,7.98,7.08,6.28,6.15,7.38,12.46
Jun 2021,21.37,16.76,14.12,13.31,12.39,11.96,11.53,12.21,19.00,13.62,17.03,14.68,10.55,10.93,9.42,11.24,8.52,10.32,17.76,7.19,7.34,8.05,6.94,6.29,5.63,7.47,12.73
May 2021,20.73,16.67,14.31,13.33,12.45,12.11,11.68,12.17,18.58,13.43,16.23,14.09,10.72,11.03,9.38,11.26,7.92,10.17,17.18,6.87,7.21,8.02,6.49,6.04,5.46,7.12,11.75
Apr 2021,21.38,16.61,14.72,12.59,12.33,12.31,11.75,12.14,18.24,12.80,15.77,13.14,10.74,9.88,9.21,11.21,8.75,9.65,15.14,6.54,6.88,6.85,6.33,5.73,4.97,6.47,10.38
Mar 2021,22.12,16.19,14.54,12.14,12.19,12.35,11.67,11.89,17.53,12.65,15.83,12.35,10.62,9.49,8.93,11.26,10.21,9.37,15.31,6.37,6.80,7.00,6.09,5.82,5.93,6.24,9.79
